# Goxel 0.7.2
# One line per voxel
# X Y Z RRGGBB
-4 -1 7 81622a
-3 -1 7 82642b
-2 -1 7 84662c
-1 -1 7 82642b
-4 -2 8 84662a
-3 -2 8 81632a
-2 -2 8 7f622b
-1 -2 8 81642b
-4 -1 8 84662b
-3 -1 8 81632a
-2 -1 8 82642b
-1 -1 8 84662b
-4 -2 9 89692d
-3 -2 9 8f6e2f
-2 -2 9 8c6c2e
-1 -2 9 89692d
-4 -1 9 8d6d2f
-3 -1 9 8f6f2f
-2 -1 9 8d6d2f
-1 -1 9 8a6b2d
-2 -3 10 8d6d2f
-4 -2 10 8a6b2e
-3 -2 10 8b6b2e
-2 -2 10 8e6d2f
-1 -2 10 906f2f
-4 -1 10 88692d
-3 -1 10 8a6b2e
-2 -1 10 8b6c2e
-1 -1 10 8c6c2f
-3 -3 11 8b6b2e
-2 -3 11 8b6c2e
-4 -2 11 86682c
-3 -2 11 896a2d
-2 -2 11 8a6b2e
-1 -2 11 8a6b2e
-5 -1 11 87682c
-4 -1 11 83652b
-3 -1 11 87682d
-2 -1 11 88692d
-1 -1 11 8a6b2e
-3 -3 12 83652b
-2 -3 12 86672c
-1 -3 12 8b6b2e
-4 -2 12 83652b
-3 -2 12 81642b
-2 -2 12 85672c
-1 -2 12 896a2d
-5 -1 12 86672b
-4 -1 12 82642a
-3 -1 12 80632a
-2 -1 12 84652b
-1 -1 12 86682c
-4 -3 13 87682c
-3 -3 13 85672c
-2 -3 13 82642a
-1 -3 13 7f622a
-5 -2 13 87682d
-4 -2 13 86672c
-3 -2 13 80632a
-2 -2 13 7f632a
-1 -2 13 81642b
-5 -1 13 83652a
-4 -1 13 86682c
-3 -1 13 81642b
-2 -1 13 80632a
-1 -1 13 7f6129
-4 -3 14 85672c
-3 -3 14 86672c
-2 -3 14 86682c
-5 -2 14 85672c
-4 -2 14 86672c
-3 -2 14 87682c
-2 -2 14 86672c
-1 -2 14 86672c
-5 -1 14 85662b
-4 -1 14 86672c
-3 -1 14 86672c
-2 -1 14 84662b
-1 -1 14 85662c
-4 -3 15 84662b
-3 -3 15 85672c
-2 -3 15 85662c
-5 -2 15 83652b
-4 -2 15 86662b
-3 -2 15 87682d
-2 -2 15 87682c
-1 -2 15 85672c
-6 -1 15 81642a
-5 -1 15 85672c
-4 -1 15 88692d
-3 -1 15 896a2e
-2 -1 15 88692d
-1 -1 15 85672c
0 -3 0 816229
1 -3 0 80622a
0 -2 0 81632a
1 -2 0 7f622a
2 -2 0 81622a
0 -1 0 82642a
1 -1 0 80632a
2 -1 0 7f622a
0 -3 1 86682c
1 -3 1 85672b
0 -2 1 87672d
1 -2 1 86672c
2 -2 1 83652b
0 -1 1 87672c
1 -1 1 86672c
2 -1 1 80632a
0 -3 2 7f632a
1 -3 2 81642a
0 -2 2 80632a
1 -2 2 80632a
2 -2 2 82642a
0 -1 2 80622a
1 -1 2 80632a
2 -1 2 806329
0 -3 3 7e6229
1 -3 3 7e6029
0 -2 3 7e6129
1 -2 3 7c5f28
2 -2 3 7d6129
0 -1 3 7f612a
1 -1 3 7e612a
2 -1 3 7d6028
0 -3 4 82652b
1 -3 4 82642a
0 -2 4 87672c
1 -2 4 87682c
2 -2 4 86672c
0 -1 4 88692d
1 -1 4 89692d
2 -1 4 87682c
0 -3 5 84652b
1 -3 5 85662c
0 -2 5 7f622a
1 -2 5 81642a
0 -1 5 7d6029
1 -1 5 7e602a
2 -1 5 84662b
0 -3 6 82642a
0 -2 6 7b5e28
1 -2 6 7d6128
0 -1 6 775c28
1 -1 6 785d28
2 -1 6 7f632a
0 -3 7 81632a
0 -2 7 7e6129
1 -2 7 7d6128
0 -1 7 7e612a
1 -1 7 7b5e28
2 -1 7 7f612a
0 -2 8 81642b
1 -2 8 81632b
0 -1 8 87682c
1 -1 8 87672b
2 -1 8 82642b
0 -2 9 85662b
0 -1 9 886a2d
1 -1 9 87692c
0 -2 10 86662c
0 -1 10 906e2f
1 -1 10 86672b
0 -2 11 8a6a2e
0 -1 11 8d6d2e
0 -2 12 8b6b2e
0 -1 12 89692d
0 -1 13 7f632a
-3 0 0 8b6b2d
-2 0 0 87672c
-1 0 0 84662c
-3 1 0 8b6b2d
-2 1 0 83652b
-1 1 0 86662c
-2 2 0 7e6029
-1 2 0 7b5f29
-3 0 1 87672c
-2 0 1 84662c
-1 0 1 86672c
-3 1 1 8a6b2d
-2 1 1 86672b
-1 1 1 82642b
-2 2 1 86672c
-1 2 1 82652c
-3 0 2 84662b
-2 0 2 81632a
-1 0 2 81632b
-3 1 2 85672c
-2 1 2 83662b
-1 1 2 81642a
-2 2 2 86682c
-1 2 2 8a6b2d
-3 0 3 7b5f28
-2 0 3 85662c
-1 0 3 82642b
-3 1 3 81632b
-2 1 3 81632a
-1 1 3 84662c
-3 2 3 87682c
-2 2 3 85662c
-1 2 3 84662b
-4 0 4 81642b
-3 0 4 81642b
-2 0 4 86672c
-1 0 4 89692e
-4 1 4 83652c
-3 1 4 7f622a
-2 1 4 83652c
-1 1 4 88692d
-3 2 4 82652b
-2 2 4 81632b
-1 2 4 82632a
-1 3 4 83662c
-4 0 5 84662c
-3 0 5 7c5f28
-2 0 5 7d6029
-1 0 5 7c6029
-4 1 5 84652c
-3 1 5 7b5e28
-2 1 5 7b5f29
-1 1 5 7b5f29
-3 2 5 83652b
-2 2 5 7c5f29
-1 2 5 7b5f28
-4 0 6 84662b
-3 0 6 7d6029
-2 0 6 7a5e28
-1 0 6 795d28
-4 1 6 82642b
-3 1 6 7d6029
-2 1 6 7b5e28
-1 1 6 795d28
-4 2 6 80632b
-3 2 6 80632a
-2 2 6 7e612a
-1 2 6 7d6129
-4 0 7 80622a
-3 0 7 85662b
-2 0 7 85672c
-1 0 7 83652b
-4 1 7 81632a
-3 1 7 83652b
-2 1 7 87682d
-1 1 7 85672c
-3 2 7 80622a
-2 2 7 85672c
-1 2 7 87682c
-4 0 8 83642b
-3 0 8 81642b
-2 0 8 84662c
-1 0 8 86682d
-4 1 8 83652b
-3 1 8 82642b
-2 1 8 85672c
-1 1 8 88692d
-4 2 8 82642a
-3 2 8 84642b
-2 2 8 87692c
-1 2 8 8b6c2e
-1 3 8 8b6c2e
-5 0 9 82652b
-4 0 9 8f6e2f
-3 0 9 906f2f
-2 0 9 8f6e2f
-1 0 9 8d6d2f
-4 1 9 8c6c2e
-3 1 9 91702f
-2 1 9 906f2f
-1 1 9 906f2f
-4 2 9 85672c
-3 2 9 8f6e2f
-2 2 9 937130
-1 2 9 937230
-2 3 9 906f30
-1 3 9 8f6f30
-5 0 10 81642b
-4 0 10 86672d
-3 0 10 8a6b2e
-2 0 10 8b6c2e
-1 0 10 8d6c2e
-5 1 10 80622a
-4 1 10 85672c
-3 1 10 8a6b2e
-2 1 10 8b6c2e
-1 1 10 8d6d2f
-4 2 10 7f622a
-3 2 10 87682c
-2 2 10 8a6b2d
-1 2 10 8b6b2e
-2 3 10 8a6b2d
-1 3 10 8b6c2e
-5 0 11 86672b
-4 0 11 83652b
-3 0 11 85672c
-2 0 11 88692c
-1 0 11 886a2d
-5 1 11 84662b
-4 1 11 83642b
-3 1 11 82642b
-2 1 11 87682c
-1 1 11 87682c
-4 2 11 83652b
-3 2 11 82652c
-2 2 11 82642b
-1 2 11 82652b
-3 3 11 86682d
-2 3 11 85672c
-1 3 11 85672c
-1 4 11 927130
-5 0 12 87672b
-4 0 12 84662c
-3 0 12 80622a
-2 0 12 82652b
-1 0 12 85672b
-5 1 12 86672c
-4 1 12 86662c
-3 1 12 83652a
-2 1 12 80632a
-1 1 12 81632b
-5 2 12 85672c
-4 2 12 87682d
-3 2 12 84652b
-2 2 12 82642b
-1 2 12 81642b
-4 3 12 85662c
-3 3 12 87682b
-2 3 12 83652b
-1 3 12 81642b
-2 4 12 8c6d2f
-1 4 12 85672c
-5 0 13 82642a
-4 0 13 87682d
-3 0 13 84662b
-2 0 13 81632b
-1 0 13 7f6229
-6 1 13 80622a
-5 1 13 80632a
-4 1 13 84652b
-3 1 13 85672c
-2 1 13 84662c
-1 1 13 81642b
-5 2 13 81642a
-4 2 13 82642a
-3 2 13 81642a
-2 2 13 80622a
-1 2 13 81632a
-4 3 13 83652b
-3 3 13 80622a
-2 3 13 80632a
-1 3 13 80632a
-2 4 13 83652a
-1 4 13 7e612a
-6 0 14 84652b
-5 0 14 85672c
-4 0 14 86672c
-3 0 14 86672c
-2 0 14 85672c
-1 0 14 85662b
-6 1 14 85662c
-5 1 14 83642b
-4 1 14 84652b
-3 1 14 85662c
-2 1 14 84652b
-1 1 14 80622a
-6 2 14 86682c
-5 2 14 80632a
-4 2 14 81622a
-3 2 14 80622a
-2 2 14 7f622a
-1 2 14 7f622a
-5 3 14 84652c
-4 3 14 80632a
-3 3 14 7e612a
-2 3 14 7e612a
-1 3 14 7e612a
-2 4 14 7f622a
-1 4 14 7e612a
-1 5 14 7e612a
-6 0 15 84652b
-5 0 15 85672c
-4 0 15 87692d
-3 0 15 896a2e
-2 0 15 88692d
-1 0 15 84662c
-6 1 15 84652b
-5 1 15 85662c
-4 1 15 87682c
-3 1 15 896a2e
-2 1 15 88692d
-1 1 15 81632a
-6 2 15 86672c
-5 2 15 85662c
-4 2 15 86672c
-3 2 15 88692d
-2 2 15 85662b
-1 2 15 7e612a
-5 3 15 86672c
-4 3 15 85672b
-3 3 15 84652b
-2 3 15 7e612a
-1 3 15 7e612a
-2 4 15 7e612a
-1 4 15 7e612a
-1 5 15 7f622a
0 0 0 83652b
1 0 0 81642b
2 0 0 7c6029
0 1 0 84652b
1 1 0 7b5e28
2 1 0 7b5f29
0 2 0 795e29
1 2 0 795e29
0 0 1 86672c
1 0 1 82642b
2 0 1 7c6029
0 1 1 81642b
1 1 1 7c6029
2 1 1 7a5e29
0 2 1 7d612a
1 2 1 795e29
0 0 2 80632a
1 0 2 7f632a
2 0 2 81632a
0 1 2 81642b
1 1 2 82632a
2 1 2 80632a
0 2 2 88692d
1 2 2 85672c
0 0 3 80632a
1 0 3 7f6229
2 0 3 7f6229
0 1 3 82652b
1 1 3 83652a
2 1 3 80632a
0 2 3 85682c
1 2 3 82652a
0 0 4 8a6a2e
1 0 4 8a6b2d
2 0 4 85672c
0 1 4 89692d
1 1 4 85662b
0 2 4 81642a
1 2 4 81632a
0 0 5 7d5f29
1 0 5 7c6029
2 0 5 81632a
0 1 5 7b5f29
1 1 5 7b5f29
0 2 5 7c5f29
1 2 5 7b5f29
0 0 6 785d28
1 0 6 785c27
2 0 6 7e6129
0 1 6 785d28
1 1 6 795d28
0 2 6 7d6029
1 2 6 7d612a
0 0 7 80632a
1 0 7 7e612a
2 0 7 81632a
0 1 7 83652b
1 1 7 82652b
2 1 7 84662c
0 2 7 87692d
1 2 7 86682c
0 0 8 89692e
1 0 8 8b6b2d
2 0 8 84672c
0 1 8 8c6b2e
1 1 8 8e6e2f
2 1 8 84672c
0 2 8 8e6d2f
1 2 8 8a6b2e
0 3 8 8a6b2e
0 0 9 8b6c2e
1 0 9 8e6d2f
2 0 9 82642b
0 1 9 8f6f30
1 1 9 906f30
2 1 9 83652b
0 2 9 917131
1 2 9 8d6e2f
0 3 9 8d6d2f
0 0 10 8d6d2f
1 0 10 8f6f2f
0 1 10 8e6e2e
1 1 10 906f2f
2 1 10 88692e
0 2 10 8a6b2e
1 2 10 8f6e2f
0 3 10 90702f
1 3 10 8d6d2e
0 0 11 8b6c2e
1 0 11 8c6c2e
0 1 11 88692c
1 1 11 88692c
0 2 11 83652c
1 2 11 896a2d
0 3 11 88692c
1 3 11 8d6d2e
0 4 11 927131
0 0 12 85662c
1 0 12 86682c
0 1 12 80632a
1 1 12 84662c
0 2 12 80632b
1 2 12 84662b
0 3 12 82642b
1 3 12 84662b
0 4 12 85672c
0 0 13 7f6229
1 0 13 84662b
0 1 13 80632a
1 1 13 82652b
0 2 13 80632a
1 2 13 80632a
2 2 13 81642b
0 3 13 80632a
1 3 13 7f622a
2 3 13 81642a
0 4 13 7e612a
1 4 13 80622a
0 5 13 82642a
0 0 14 82642b
1 0 14 81642b
0 1 14 80632a
1 1 14 80632a
0 2 14 7f622a
1 2 14 7e612a
2 2 14 7e612a
0 3 14 7e612a
1 3 14 7e612a
2 3 14 7e612a
0 4 14 7e612a
1 4 14 7e612a
2 4 14 7f622a
0 5 14 7f622a
1 5 14 7f622a
0 0 15 7f622a
0 1 15 7e612a
1 1 15 7e612a
0 2 15 7e612a
1 2 15 7e612a
2 2 15 7e612a
0 3 15 7e612a
1 3 15 7e612a
2 3 15 7f622a
0 4 15 7f622a
1 4 15 7f622a
2 4 15 7f622a
0 5 15 80632a
1 5 15 80632a
2 5 15 80632b
0 6 15 80632b
1 6 15 80632b
2 6 15 81642b
-6 0 16 7d612a
-5 0 16 7e622a
-4 0 16 80632a
-3 0 16 83652b
-2 0 16 84662c
-1 0 16 84652b
-6 1 16 7d612a
-5 1 16 7e622a
-4 1 16 80632a
-3 1 16 82642b
-2 1 16 84652b
-1 1 16 80622a
-6 2 16 7f622a
-5 2 16 7f622a
-4 2 16 81632a
-3 2 16 82652b
-2 2 16 81642a
-1 2 16 7e612a
-5 3 16 82642a
-4 3 16 82642a
-3 3 16 83652b
-2 3 16 7e612a
-1 3 16 7f622a
-2 4 16 7e612a
-1 4 16 80632a
-2 5 16 7e612a
-1 5 16 80632b
-1 6 16 80632a
-7 0 17 7e612a
-6 0 17 7d602a
-5 0 17 7c5f29
-4 0 17 7d6029
-3 0 17 7e6129
-2 0 17 80622a
-7 1 17 7e612a
-6 1 17 7d612a
-5 1 17 7c6029
-4 1 17 7c6029
-3 1 17 7e6129
-2 1 17 80632a
-6 2 17 7f622a
-5 2 17 7d6129
-4 2 17 7c6029
-3 2 17 7e612a
-2 2 17 7f6229
-1 2 17 7e612a
-6 3 17 82642a
-5 3 17 80632a
-4 3 17 7f622a
-3 3 17 7f632a
-2 3 17 7f622a
-1 3 17 7f622a
-2 4 17 7e612a
-1 4 17 80632b
-2 5 17 7e612a
-1 5 17 80632b
-1 6 17 86672c
-1 7 17 8c6c2f
-7 0 18 7b5e29
-6 0 18 7e612a
-5 0 18 7e612a
-4 0 18 7f622b
-3 0 18 7f622a
-2 0 18 81632a
-7 1 18 7b5f29
-6 1 18 7e612a
-5 1 18 7e612a
-4 1 18 80632b
-3 1 18 80632a
-2 1 18 81642b
-7 2 18 7b5f29
-6 2 18 7e612a
-5 2 18 7f622a
-4 2 18 81632b
-3 2 18 81642b
-2 2 18 81632a
-6 3 18 7f622a
-5 3 18 7f622a
-4 3 18 81642b
-3 3 18 83652b
-1 3 18 7e612a
-1 4 18 80632a
-1 5 18 86682c
-1 6 18 8e6d2f
-1 7 18 8f6e2f
-1 8 18 8a6b2d
-8 0 19 7f622a
-7 0 19 7a5e28
-6 0 19 7b5f29
-5 0 19 7d6029
-4 0 19 80622a
-3 0 19 81642a
-2 0 19 83662b
-8 1 19 7d6129
-7 1 19 785c28
-6 1 19 7c5f29
-5 1 19 7d6129
-4 1 19 7f622a
-3 1 19 81642a
-2 1 19 84652b
-7 2 19 795d29
-6 2 19 7d6029
-5 2 19 7f6229
-4 2 19 80622a
-3 2 19 81642a
-6 3 19 7d6129
-5 3 19 816329
-4 3 19 82652a
-1 5 19 88692d
-1 6 19 8e6e2f
-1 7 19 8e6d2f
-1 8 19 84662c
-1 9 19 82642b
-9 0 20 7d6029
-8 0 20 7f622a
-7 0 20 7f632a
-6 0 20 83652c
-5 0 20 81632b
-4 0 20 81632a
-3 0 20 85662b
-8 1 20 7f622a
-7 1 20 80632a
-6 1 20 81652b
-5 1 20 80622a
-4 1 20 82642b
-3 1 20 86682b
-2 1 20 8a6b2e
-8 2 20 7d6029
-7 2 20 81642a
-6 2 20 81642a
-5 2 20 80622a
-4 2 20 83652b
-3 2 20 896a2d
-7 3 20 7d612a
-6 3 20 81642b
-5 3 20 86672b
-4 3 20 8b6b2d
-1 6 20 8f6e2e
-1 7 20 86672c
-1 8 20 80632a
-1 9 20 80632b
-9 0 21 80622a
-8 0 21 7c5f29
-7 0 21 7e612a
-6 0 21 7f622a
-5 0 21 85672b
-4 0 21 8a6a2e
-3 0 21 906f2f
-9 1 21 80612a
-8 1 21 7c5f29
-7 1 21 7d6029
-6 1 21 83652b
-5 1 21 896a2d
-4 1 21 8d6d2e
-3 1 21 927130
-2 1 21 927130
-8 2 21 7c6029
-7 2 21 7e6129
-6 2 21 87672c
-5 2 21 8d6d2f
-4 2 21 92702f
-3 2 21 917030
-7 3 21 7c6028
-6 3 21 8c6b2e
-5 3 21 927130
-4 3 21 927131
-1 7 21 7e622a
-1 8 21 7f622b
-1 9 21 80632b
-10 0 22 7d6029
-9 0 22 7f622a
-8 0 22 7f6129
-7 0 22 736227
-6 0 22 606021
-5 0 22 7f612a
-4 0 22 84662b
-3 0 22 8e6d2f
-9 1 22 7e6129
-8 1 22 80632a
-7 1 22 83652c
-6 1 22 80622a
-5 1 22 7e6129
-4 1 22 86682c
-3 1 22 89692d
-8 2 22 7f6129
-7 2 22 83652b
-6 2 22 81632b
-5 2 22 85672c
-4 2 22 8a6b2e
-3 2 22 8a6b2e
-7 3 22 83652b
-6 3 22 85662c
-5 3 22 896a2e
-4 3 22 8c6c2e
-3 3 22 8a6a2e
-10 0 23 696023
-9 0 23 565f1f
-8 0 23 455d19
-7 0 23 345b15
-6 0 23 325c14
-5 0 23 686323
-4 0 23 8b6b2d
-3 0 23 8f6e2f
-9 1 23 7f622a
-8 1 23 6d5e24
-7 1 23 5b5f1f
-6 1 23 495e1b
-5 1 23 5f6321
-4 1 23 7d6729
-3 1 23 8c6c2e
-8 2 23 7b5f29
-7 2 23 786328
-6 2 23 6d6425
-5 2 23 81662a
-4 2 23 786428
-3 2 23 8a6a2d
-7 3 23 87682c
-6 3 23 866a2c
-5 3 23 776628
-4 3 23 86682c
-5 4 23 8a6b2e
-15 9 23 145b0d
-15 10 23 145b0d
-1 12 23 425b0d
-1 13 23 425b0d
-1 14 23 425b0d
-16 0 24 14590d
-15 0 24 14590d
-14 0 24 14590d
-12 0 24 14590d
-11 0 24 1a590d
-10 0 24 275a11
-9 0 24 225a0f
-8 0 24 1b5a0e
-7 0 24 16590d
-6 0 24 18590d
-5 0 24 425d18
-4 0 24 6b6323
-3 0 24 7c6926
-16 1 24 14590d
-10 1 24 445c19
-9 1 24 3f5d18
-8 1 24 325d15
-7 1 24 255b11
-6 1 24 275b11
-5 1 24 315c14
-4 1 24 525f1c
-3 1 24 8b6a2d
-16 2 24 14590d
-9 2 24 465d1a
-8 2 24 53601d
-7 2 24 3f5d18
-6 2 24 2e5b13
-5 2 24 475e19
-4 2 24 53611e
-3 2 24 726727
-16 3 24 14590d
-7 3 24 4e5d1b
-6 3 24 425d17
-5 3 24 636223
-4 3 24 796428
-16 4 24 14590d
-6 4 24 485c1a
-5 4 24 475e1a
-16 5 24 14590d
-16 6 24 14590d
-15 8 24 135a0d
-16 9 24 135a0d
-15 9 24 135a0d
-14 9 24 145b0d
-16 10 24 135a0d
-15 10 24 135a0d
-14 10 24 145b0d
-13 10 24 145b0d
-16 11 24 12590d
-15 11 24 135a0d
-14 11 24 145b0d
-13 11 24 145b0d
-13 12 24 145b0d
-1 12 24 425b0d
-1 13 24 425b0d
-16 0 25 14590d
-15 0 25 13590d
-14 0 25 13590d
-13 0 25 13590d
-12 0 25 13590d
-11 0 25 14590d
-10 0 25 14590d
-9 0 25 14590d
-8 0 25 14590d
-7 0 25 14590d
-6 0 25 14590d
-5 0 25 1e5b0e
-4 0 25 3c5e14
-3 0 25 556018
-16 1 25 14590d
-15 1 25 14590d
-14 1 25 14590d
-13 1 25 14590d
-12 1 25 14590d
-11 1 25 13590d
-10 1 25 15590d
-9 1 25 14590d
-8 1 25 14590d
-7 1 25 14590d
-6 1 25 15590d
-5 1 25 145a0d
-4 1 25 325d13
-3 1 25 5f6520
-16 2 25 14590d
-15 2 25 14590d
-14 2 25 14590d
-13 2 25 14590d
-12 2 25 14590d
-11 2 25 15590d
-10 2 25 15590d
-9 2 25 18590d
-8 2 25 19590d
-7 2 25 14590d
-6 2 25 19590d
-5 2 25 245a10
-4 2 25 2a5d12
-3 2 25 45621a
-16 3 25 14590d
-15 3 25 14590d
-14 3 25 14590d
-13 3 25 14590d
-11 3 25 1e590d
-10 3 25 1d590d
-9 3 25 1c590d
-8 3 25 20590d
-7 3 25 1e590e
-6 3 25 14590d
-5 3 25 3a5d16
-4 3 25 4f611d
-3 3 25 145b0d
-16 4 25 14590d
-15 4 25 14590d
-9 4 25 27590d
-8 4 25 28590d
-7 4 25 20590d
-6 4 25 225a10
-5 4 25 325d15
-16 5 25 14590d
-15 5 25 14590d
-8 5 25 2a590d
-7 5 25 1e590d
-16 6 25 14590d
-15 6 25 14590d
-16 7 25 145b0d
-15 7 25 145a0d
-16 8 25 145b0d
-15 8 25 145b0d
-16 9 25 12590d
-15 9 25 135a0d
-14 9 25 135a0d
-16 10 25 12590d
-15 10 25 12590d
-14 10 25 135a0d
-13 10 25 145b0d
-16 11 25 12590d
-15 11 25 12590d
-14 11 25 135a0d
-13 11 25 145b0d
-12 11 25 145b0d
-15 12 25 135a0d
-14 12 25 135a0d
-13 12 25 135a0d
-12 12 25 145b0d
-1 12 25 3b5b0d
-1 13 25 335b0d
-1 15 25 145b0d
-16 0 26 14590d
-15 0 26 13590d
-14 0 26 13590d
-13 0 26 14590d
-12 0 26 14590d
-11 0 26 14590d
-10 0 26 14590d
-9 0 26 14590d
-8 0 26 14590d
-7 0 26 14590d
-6 0 26 14590d
-5 0 26 145a0d
-4 0 26 205b0d
-3 0 26 2c5b0e
-16 1 26 14590d
-15 1 26 14590d
-14 1 26 13590d
-13 1 26 14590d
-12 1 26 14590d
-11 1 26 14590d
-10 1 26 14590d
-9 1 26 14590d
-8 1 26 145a0d
-7 1 26 14590d
-6 1 26 14590d
-5 1 26 145a0d
-4 1 26 185b0d
-3 1 26 2b5d12
-16 2 26 14590d
-15 2 26 14590d
-14 2 26 14590d
-13 2 26 14590d
-12 2 26 14590d
-11 2 26 14590d
-10 2 26 14590d
-9 2 26 14590d
-8 2 26 14590d
-7 2 26 14590d
-6 2 26 14590d
-5 2 26 14590d
-4 2 26 145a0d
-3 2 26 1a5b0e
-16 3 26 14590d
-15 3 26 14590d
-14 3 26 14590d
-13 3 26 14590d
-12 3 26 14590d
-11 3 26 15590d
-10 3 26 16590d
-9 3 26 14590d
-8 3 26 14590d
-7 3 26 14590d
-6 3 26 14590d
-5 3 26 1e5a0e
-4 3 26 225c10
-3 3 26 145b0d
-2 3 26 145b0d
-16 4 26 14590d
-15 4 26 14590d
-14 4 26 14590d
-13 4 26 14590d
-12 4 26 14590d
-11 4 26 14590d
-10 4 26 16590d
-9 4 26 14590d
-8 4 26 17590d
-7 4 26 1b590d
-6 4 26 1f5a0e
-5 4 26 16590d
-4 4 26 145a0d
-3 4 26 145b0d
-2 4 26 145b0d
-16 5 26 14590d
-15 5 26 14590d
-14 5 26 14590d
-13 5 26 14590d
-12 5 26 14590d
-11 5 26 14590d
-10 5 26 14590d
-9 5 26 17590d
-8 5 26 20590d
-7 5 26 2a590d
-16 6 26 14590d
-15 6 26 145a0d
-14 6 26 14590d
-16 7 26 145a0d
-15 7 26 145b0d
-14 7 26 145b0d
-16 8 26 135a0d
-15 8 26 145b0d
-14 8 26 145b0d
-16 9 26 12590d
-15 9 26 12590d
-14 9 26 135a0d
-16 10 26 12590d
-15 10 26 12590d
-14 10 26 12590d
-13 10 26 135a0d
-16 11 26 12590d
-15 11 26 12590d
-14 11 26 12590d
-13 11 26 135a0d
-12 11 26 135a0d
-1 11 26 295b0d
-16 12 26 12590d
-15 12 26 12590d
-14 12 26 12590d
-13 12 26 12590d
-12 12 26 135a0d
-1 12 26 2b5b0d
-14 13 26 135a0d
-13 13 26 135a0d
-12 13 26 135a0d
-1 13 26 1c5b0d
-1 14 26 145b0d
-10 15 26 145b0d
-9 15 26 145b0d
-8 15 26 145b0d
-1 15 26 145b0d
-16 0 27 13590d
-15 0 27 13590d
-14 0 27 13590d
-13 0 27 14590d
-12 0 27 14590d
-11 0 27 14590d
-10 0 27 14590d
-9 0 27 14590d
-8 0 27 14590d
-7 0 27 14590d
-6 0 27 13590d
